equipment_id,equipment_type,agency,manufacturer,equipment_age_years,days_since_last_maintenance,unplanned_outages_12mo,total_usage_load_millions,days_since_parts_replacement,inspection_score,avg_monthly_temp_f,avg_daily_ridership,floors_served,is_transfer_hub,outage_within_30_days
EQ-0000,elevator,SEPTA,Schindler,8.116618477064895,4.021887557957721,1,1.0270690474327473,275.988132077076,57.97359899767102,60.82297899765142,26642.29931502631,3,1,0
EQ-0001,platform_lift,SEPTA,Mitsubishi,13.692383817622016,86.29381287370416,3,4.4823721614344185,353.255080377196,79.59624885708716,42.58857811734186,8204.042314798982,6,0,0
EQ-0002,escalator,MBTA,Mitsubishi,2.2517612708814,33.45846602482722,6,3.71582905139881,166.94192036730192,85.25165135641902,58.46559718518939,4613.2996480353195,3,0,0
EQ-0003,escalator,SEPTA,KONE,10.780143112745822,59.11332256189277,6,2.202888034394425,100.81168303694164,62.23536786248207,81.4914686584915,25388.80131788646,3,0,0
EQ-0004,elevator,SEPTA,ThyssenKrupp,6.766777331855175,78.02755606788642,0,1.5780495615539316,335.94732958533706,73.00244717447,59.48266811176907,19904.862826197546,3,0,0
EQ-0005,elevator,WMATA,Mitsubishi,22.350965772447108,68.23806834382519,7,2.2562579021509723,234.89307541925925,78.11431652663762,59.55785765712359,34468.26071314615,2,0,0
EQ-0006,elevator,MTA_NYC,ThyssenKrupp,10.873346351167687,38.149408319745994,2,2.5319730646779632,155.97627119255608,80.80697899648068,63.92173502028273,13343.467336859323,4,1,0
EQ-0007,platform_lift,WMATA,Otis,14.241588382370445,29.45143247082298,0,1.8490908351608426,69.35496677613584,74.65675556130198,66.26539341204895,15206.60114485722,2,1,0
EQ-0008,escalator,SEPTA,ThyssenKrupp,12.329759631452347,28.292439918345128,5,1.1984046408053093,39.71529244789889,63.932542171143936,52.04487161053852,23456.085828009593,4,1,0
EQ-0009,escalator,MTA_NYC,Schindler,22.89352244134856,61.30720822483465,1,2.66427509358612,97.6395465523856,77.3519135769689,64.30469886340686,11751.818968704663,3,0,0
EQ-0010,elevator,SEPTA,Schindler,23.228459868691303,40.96738287963688,10,3.409756785736275,60.844508631582954,58.17307719670826,39.116733527366804,23924.771194978064,3,0,0
EQ-0011,platform_lift,SEPTA,Mitsubishi,18.138859011784003,113.48109842461515,1,3.0945940377567958,74.59069005572738,75.20830275981426,43.61672097699002,26157.728415011847,2,1,1
EQ-0012,escalator,MBTA,ThyssenKrupp,16.035941027355033,124.62361522868146,7,0.9482927391516826,130.48350844356446,72.70351663563684,45.919316054638784,23430.918153130628,5,0,0
EQ-0013,elevator,SEPTA,Mitsubishi,4.1510267414774145,11.220297626127957,0,7.43585094931558,33.34293997969092,76.38881191872696,66.45572841341395,22503.059256587796,2,0,0
EQ-0014,elevator,MTA_NYC,KONE,11.672440143733683,8.787178606839044,4,8.66126632395996,295.34548624345905,71.2881362702918,60.88419089601299,10196.655120808313,4,0,0
EQ-0015,elevator,MTA_NYC,Schindler,25.461764826207983,59.72018668358421,0,3.9826095062663684,28.309185959321244,59.907829942125595,55.58152760960885,7919.811220660479,4,0,0
EQ-0016,elevator,MTA_NYC,Mitsubishi,15.037894398510891,21.505652850716707,0,4.558098795732127,118.05104527926967,73.60388015292585,70.43385981253516,20664.3490895007,3,0,1
EQ-0017,escalator,CTA,KONE,10.893417160129362,1.12471917500558,1,3.0181156792887647,246.65547170282355,89.16984150044783,64.81951748936204,5909.312040754317,3,1,0
EQ-0018,elevator,SEPTA,Mitsubishi,9.707836671914873,131.7006631953504,7,3.2779734906509486,119.45314588190776,93.13752964786565,52.780417960308306,5184.272260218668,6,1,1
EQ-0019,elevator,WMATA,ThyssenKrupp,9.748889826956189,15.440871904875188,4,0.5070494515100323,80.61936363152044,100.0,39.365844829243386,15075.393673850485,2,0,0
EQ-0020,escalator,MBTA,ThyssenKrupp,14.130388231844455,158.94216454256858,4,2.3595461973294847,115.94700023247437,98.29980490077196,43.24524157791845,11594.877940333256,5,0,0
EQ-0021,elevator,MTA_NYC,ThyssenKrupp,9.05189350864256,75.83068338129613,1,2.386333582594634,339.89346261119687,63.63674487998275,31.597429622927947,26706.444054924104,2,0,0
EQ-0022,elevator,MBTA,ThyssenKrupp,24.417222119337175,86.29404826461422,5,8.482590251568435,730.0,73.09874878472809,60.530251902714866,20634.633010574405,3,0,1
EQ-0023,elevator,SEPTA,Otis,3.6823643105660397,13.498325509040347,8,2.0178833719155387,179.52246507853113,77.72657238194668,42.4815019158339,26067.886839405128,2,1,0
EQ-0024,elevator,MTA_NYC,KONE,20.410637571032957,16.00961764813349,3,7.3527266851331525,283.89310620840615,76.9732819891956,49.08418632429033,34202.376244521365,2,0,0
EQ-0025,escalator,SEPTA,KONE,28.323113069468498,44.19682937283116,1,2.582711767122749,2.62704098702242,78.83439995875472,55.70336774868045,42045.647417933775,2,0,1
EQ-0026,elevator,WMATA,ThyssenKrupp,6.429127982727136,11.331763611407627,3,1.7961886983713882,382.1948824513573,100.0,76.79191344395234,31943.603266156137,2,0,0
EQ-0027,escalator,MBTA,Otis,19.166918439234035,21.867886017370903,0,0.5410372624075521,554.4353170002304,65.01538145049123,74.71823076970276,23094.022579095606,6,1,1
