equipment_id,equipment_type,agency,equipment_age_years,unplanned_outages_12mo,days_since_last_maintenance,risk_score,risk_flag,priority_tier
EQ-1550,platform_lift,CTA,33.17876060918059,10,31.70813273433389,0.9791,1,Critical
EQ-1440,platform_lift,MTA_NYC,22.565503716936163,10,92.44570757671724,0.9777,1,Critical
EQ-1576,elevator,SEPTA,38.96605955801066,10,117.11367475090208,0.976,1,Critical
EQ-1556,escalator,SEPTA,31.69663004570284,7,14.05507740156892,0.9725,1,Critical
EQ-0799,platform_lift,SEPTA,33.646343198043816,9,80.85890425511658,0.9724,1,Critical
EQ-1922,escalator,WMATA,14.679903764971565,4,123.83091352799713,0.9657,1,Critical
EQ-1491,elevator,MTA_NYC,33.62563917729872,11,51.23704977938135,0.9642,1,Critical
EQ-0220,escalator,WMATA,25.16571994395113,9,82.10799397551912,0.958,1,Critical
EQ-0905,platform_lift,SEPTA,8.253652034844416,5,333.50682490627264,0.9578,1,Critical
EQ-1617,escalator,CTA,29.30352433433661,1,289.67639604191027,0.9569,1,Critical
EQ-1360,platform_lift,WMATA,32.48880779056466,10,114.40545519640436,0.9568,1,Critical
EQ-1037,escalator,MBTA,37.80691518455938,6,64.92842746140666,0.9563,1,Critical
EQ-1538,elevator,WMATA,33.17924272859856,9,31.54048588741943,0.9561,1,Critical
EQ-1610,platform_lift,MTA_NYC,29.238495256666862,1,122.78846268040816,0.9549,1,Critical
EQ-0636,escalator,MBTA,24.805148207135,9,85.00764455358446,0.9522,1,Critical
EQ-0329,elevator,SEPTA,8.354277841943524,9,95.46647212191355,0.9493,1,Critical
EQ-0920,platform_lift,MTA_NYC,40.0,7,22.657944867436704,0.9479,1,Critical
EQ-0176,escalator,SEPTA,39.08615497326434,1,70.12208051456643,0.9466,1,Critical
EQ-1879,escalator,SEPTA,23.85708723247494,2,83.06415521311945,0.9461,1,Critical
EQ-1346,elevator,SEPTA,6.088521110329298,6,1.082414096270896,0.9448,1,Critical
EQ-1274,elevator,CTA,20.98574363352455,4,118.73184558930777,0.9441,1,Critical
EQ-1852,platform_lift,MTA_NYC,27.01685505239446,5,49.96845704412126,0.9422,1,Critical
EQ-0413,escalator,SEPTA,20.96860475634607,0,97.37443686611384,0.9409,1,Critical
EQ-1649,escalator,MBTA,36.71402388250103,5,102.19677685421242,0.9395,1,Critical
EQ-0401,platform_lift,SEPTA,8.697190343328499,9,225.00133192018745,0.9392,1,Critical
EQ-1271,platform_lift,SEPTA,27.17189116470144,1,135.8182296330953,0.939,1,Critical
EQ-1624,elevator,SEPTA,32.2030325665188,13,30.159179194576645,0.9388,1,Critical
EQ-0897,platform_lift,SEPTA,36.53896816541641,2,27.55690668397426,0.9386,1,Critical
EQ-0806,platform_lift,WMATA,7.304673845071235,10,53.817260505157385,0.9382,1,Critical
EQ-0914,escalator,SEPTA,18.513511806927244,3,62.4216363970057,0.9353,1,Critical
EQ-0604,elevator,SEPTA,28.43983397444225,10,13.57396473509308,0.9348,1,Critical
EQ-0181,elevator,SEPTA,6.296140673428506,4,92.55799337181568,0.9348,1,Critical
EQ-0757,escalator,CTA,15.548558561253165,7,14.059011404910786,0.9347,1,Critical
EQ-1061,platform_lift,SEPTA,38.44462981158913,1,45.18698765627572,0.9346,1,Critical
EQ-0229,escalator,SEPTA,23.3565388658954,0,216.66486008962616,0.9338,1,Critical
EQ-0198,platform_lift,MTA_NYC,27.814622879292912,10,37.50511560140349,0.9335,1,Critical
EQ-1128,elevator,MBTA,22.14492193434033,8,7.401521555404682,0.9332,1,Critical
EQ-1904,escalator,CTA,30.772548596526214,9,86.69148985275012,0.9324,1,Critical
EQ-0255,escalator,MTA_NYC,21.75789519124427,10,9.945598679263163,0.9317,1,Critical
EQ-0441,platform_lift,MTA_NYC,15.606252298174391,9,158.7690886366352,0.931,1,Critical
EQ-1685,platform_lift,MTA_NYC,25.494640083094996,14,144.8864706052067,0.9302,1,Critical
EQ-0654,elevator,WMATA,37.82568127470672,2,44.57276621741942,0.9296,1,Critical
EQ-0854,elevator,SEPTA,27.771791959725935,13,1.0,0.9294,1,Critical
EQ-1451,escalator,WMATA,17.237149599633064,5,85.76667270624958,0.9281,1,Critical
EQ-0289,escalator,SEPTA,12.920754970999855,8,10.583669436088616,0.9278,1,Critical
EQ-1259,escalator,CTA,14.541950809753333,6,102.05973316327228,0.9278,1,Critical
EQ-0495,elevator,MTA_NYC,37.45940995969763,5,143.73957707934773,0.9267,1,Critical
EQ-0758,platform_lift,WMATA,8.217730685633404,6,89.53825931825459,0.9266,1,Critical
EQ-0860,escalator,CTA,6.224205546234147,17,174.23269570396025,0.9254,1,Critical
EQ-1828,escalator,CTA,18.623157065347694,1,89.14814786381369,0.9251,1,Critical
EQ-1619,escalator,SEPTA,4.346637150271815,11,38.120890024996505,0.9244,1,Critical
EQ-1945,escalator,SEPTA,5.839280664516692,11,25.75427141577925,0.9213,1,Critical
EQ-0922,platform_lift,CTA,18.8926104976399,9,105.0148809388678,0.9205,1,Critical
EQ-1590,escalator,MBTA,32.38941449277839,7,60.31559735650762,0.9204,1,Critical
EQ-1695,elevator,SEPTA,22.0412433466204,2,260.17142904181765,0.9184,1,Critical
EQ-0178,platform_lift,WMATA,37.18617061569775,1,103.25922823637369,0.9162,1,Critical
EQ-1433,escalator,MTA_NYC,19.416053057914485,3,2.0378093797156294,0.9159,1,Critical
EQ-1733,elevator,MTA_NYC,27.22183136786864,7,33.71479510824289,0.915,1,Critical
EQ-1017,escalator,MTA_NYC,23.51327843650929,7,13.89675720150478,0.915,1,Critical
EQ-1558,escalator,SEPTA,26.519431392882776,7,38.68742284552759,0.9128,1,Critical
EQ-1738,elevator,WMATA,25.151205417459472,7,151.24701802914112,0.9125,1,Critical
EQ-0431,escalator,CTA,17.453453335730718,11,62.77490032567489,0.9115,1,Critical
EQ-0839,escalator,MTA_NYC,17.546678354311243,14,124.75548165075192,0.9114,1,Critical
EQ-1136,platform_lift,WMATA,9.237373624988324,7,42.663548949195246,0.9099,1,Critical
EQ-0518,platform_lift,WMATA,8.583706110021403,8,12.867010809633484,0.9096,1,Critical
EQ-1874,escalator,SEPTA,28.61811517910896,3,10.456974975312312,0.9093,1,Critical
EQ-0043,platform_lift,SEPTA,31.44816605492824,2,46.83746992115704,0.909,1,Critical
EQ-1509,escalator,SEPTA,18.65255077801756,0,176.9337857640087,0.9088,1,Critical
EQ-1179,escalator,WMATA,6.6475606862568215,5,96.34646765247427,0.9078,1,Critical
EQ-1014,escalator,MTA_NYC,7.387074264907514,5,61.31414284149144,0.9071,1,Critical
EQ-0355,escalator,SEPTA,29.825269062279837,6,82.79401630725134,0.9064,1,Critical
EQ-0395,platform_lift,MTA_NYC,19.323937053065208,5,59.65629351122568,0.9062,1,Critical
EQ-0996,platform_lift,SEPTA,4.550496465154303,8,75.95221379668976,0.9049,1,Critical
EQ-1813,elevator,MTA_NYC,17.04759547935119,14,89.42510452033169,0.9038,1,Critical
EQ-0108,elevator,SEPTA,28.00311353778041,1,105.9409088088198,0.9037,1,Critical
EQ-1779,escalator,CTA,4.302395386551599,1,107.108169175013,0.9035,1,Critical
EQ-0773,elevator,MTA_NYC,3.717394385107209,0,15.10192210567322,0.9033,1,Critical
EQ-0209,elevator,MBTA,7.336832522741519,11,134.34477558850597,0.9031,1,Critical
EQ-1817,escalator,CTA,31.89257158417124,6,193.1515383756673,0.903,1,Critical
EQ-0633,escalator,SEPTA,3.9691797478020656,11,89.87147620285359,0.9028,1,Critical
EQ-1308,elevator,MTA_NYC,31.13555538338117,2,51.58907323240605,0.9027,1,Critical
EQ-0771,escalator,SEPTA,7.498634952540436,12,3.5935225910222672,0.9022,1,Critical
EQ-0967,elevator,MTA_NYC,21.718235564632185,4,14.615208927553049,0.9017,1,Critical
EQ-0295,escalator,SEPTA,16.769997473818876,1,50.93191966938773,0.9009,1,Critical
EQ-1993,elevator,SEPTA,26.17116973798598,2,48.36551997959152,0.9007,1,Critical
EQ-0803,escalator,MBTA,35.10681151083964,5,36.74100814050063,0.9004,1,Critical
EQ-0990,escalator,SEPTA,6.518752758668221,0,45.80858413697834,0.9004,1,Critical
EQ-0141,elevator,MTA_NYC,38.99873312951517,2,38.991134062943615,0.9003,1,Critical
EQ-1199,elevator,MTA_NYC,20.21330852883153,5,149.71540527431625,0.8999,1,Critical
