feature,mean_importance,std
equipment_age_years,0.030249999999999954,0.011803071634112884
unplanned_outages_12mo,0.018749999999999954,0.013145816825134887
avg_monthly_temp_f,0.010249999999999981,0.007701460900374662
days_since_last_maintenance,0.009249999999999991,0.006986594306241058
manufacturer,0.008499999999999975,0.006538348415310999
agency,0.007499999999999984,0.00433012701892221
inspection_score,0.0014999999999999792,0.010618380290797657
floors_served,0.00024999999999996135,0.004100304866714177
equipment_type,-0.0025000000000000356,0.011937336386313327
total_usage_load_millions,-0.006500000000000039,0.00717635004720368
is_transfer_hub,-0.011250000000000027,0.005505678886386324
days_since_parts_replacement,-0.011750000000000038,0.013876689086377928
avg_daily_ridership,-0.013500000000000035,0.007088723439378912
